user,item,rating,timestamp
1648,3114,5,974713543
305,742,2,976497760
3091,1347,3,969659451
4335,3098,4,965338778
4116,2389,3,966916499
1721,2392,2,974705480
2063,2126,3,974665291
1159,1129,4,974864508
3516,2699,3,966967278
1069,3897,4,974941737
3469,2617,3,967155577
3823,1960,5,965943826
6000,87,2,956886964
3289,1408,3,968094400
5978,318,5,956960626
1261,924,4,974820421
4153,2724,3,965342000
4243,1101,3,965314388
1793,1917,1,974761840
4271,2949,4,965302320
3681,866,1,966355896
4345,1032,4,966436203
2148,783,4,974621428
5217,2826,3,961550769
714,832,5,975690565
4901,110,5,962685535
3679,1415,1,976298093
710,1837,2,978588452
5420,1826,1,960158631
5281,2134,4,961099772
2645,592,3,973560271
1124,2890,2,975705795
5225,1270,3,961517647
5718,1089,4,958509222
3648,292,4,994801381
2664,750,5,973458520
624,3654,4,975786710
4673,2533,3,970984205
1798,1955,4,1004245229
1211,663,4,976217671
2820,2076,5,972659556
2895,1620,3,971987513
3579,260,4,966709989
2507,780,3,974079320
2795,2951,4,972892618
1447,1208,4,981018061
5854,6,5,957745797
2063,2621,4,974659975
4757,3751,4,978802897
2811,2732,5,972757349
5064,562,4,963072857
4312,1377,3,965698445
5585,3250,3,959277057
3731,2010,2,966209543
96,1196,3,980562682
1136,2763,2,974878953
5623,408,4,959094133
2665,784,3,974667088
4860,296,5,962828285
1150,2078,5,974870315
5177,2699,4,961858379
5155,2763,4,961948787
1680,3063,4,974844649
1617,1973,3,974729045
4578,125,4,974474546
1114,605,4,974916126
2681,1126,3,973392433
2771,356,3,973096761
2029,2142,1,974670707
4213,3487,5,965841913
3992,3505,4,965596780
1525,2289,4,974745359
6032,2730,5,956717669
3426,1245,5,967353063
2750,1641,5,973199946
935,1617,4,975182181
33,1272,4,978982999
4605,2433,1,964204290
1873,480,4,974693611
5663,1036,3,958768175
3953,1011,4,1029649987
647,344,1,975714406
3412,2291,4,968725659
411,2302,3,1010354411
5777,1333,4,958160445
2401,3430,4,974260406
3650,194,3,966458845
1370,3527,4,974796056
1861,34,4,974696332
3590,663,3,966653519
3471,719,3,973298315
5749,522,5,962844818
3129,429,5,969281762
4240,2001,4,965310317
3175,3408,3,968788167
1605,520,4,975382511
1975,3062,3,974685449
5140,3505,3,964878072
2909,861,3,971970328
1660,2575,5,974711284
1088,2917,1,1039748321
4490,223,5,965007424
3196,594,3,970938725
590,2427,5,975913510
3096,1371,4,969642770
2868,1199,5,972439958
3836,367,5,966186394
4076,3078,3,965444657
245,553,3,976828331
2047,2890,5,974673060
1311,885,3,974784002
4310,3527,5,1010394929
2259,1278,4,974591762
797,1183,5,975413688
3512,3793,3,975260184
5910,2918,4,957371764
161,1639,5,977221323
3209,303,3,968547415
181,1197,5,977088128
3155,1220,4,968896353
3309,2709,4,967969712
3808,1726,3,965973483
5345,156,5,960673384
533,357,5,976208036
5084,1732,3,962400233
3639,3051,1,966487244
5100,3362,4,962385707
3189,1831,3,969861354
5754,1183,4,958274617
4055,293,4,965495006
2348,3362,2,974418676
166,592,4,977187491
3035,3755,4,970274118
888,3784,5,975258280
1983,3461,5,974688065
710,1923,5,975540470
6016,1885,5,956780275
81,2028,5,977786280
3156,2965,1,968887058
3245,3784,1,968308781
1137,912,4,974876770
550,2529,1,976158149
4980,2700,3,963973120
4354,2001,4,965191654
3814,3764,1,965952340
3028,160,2,970440715
2589,1333,3,973864898
1940,527,5,974693318
3426,1219,5,967350247
4041,541,5,965502540
111,1711,3,977512953
3334,344,3,967843967
3981,924,3,965628421
2955,1188,3,971205835
3095,2174,4,970774487
