Lambda,FairnessMeasure,Statistic,MACE,MRMC,MAP,MRR
0.0,kullback-leibler,mean,0.0014760234362602774,0.38590556329603376,0.04758140601592356,0.04781817569728498
0.0,kullback-leibler,stdev,9.265272475504338e-05,0.006407221621579925,0.006591143109425191,0.007103169195222796
0.0,hellinger,mean,0.0014760234362602774,0.7549443402726175,0.04758140601592356,0.04781817569728498
0.0,hellinger,stdev,9.265272475504338e-05,0.006931297099391769,0.006591143109425191,0.007103169195222796
0.0,pearson,mean,0.0014760234362602774,0.4039258248874479,0.04758140601592356,0.04781817569728498
0.0,pearson,stdev,9.265272475504338e-05,0.007139866147861912,0.006591143109425191,0.007103169195222796
0.1,kullback-leibler,mean,0.0012821404495676784,0.31225827761773506,0.05044563954956327,0.050888838391489576
0.1,kullback-leibler,stdev,9.67348419586921e-05,0.003689991745969533,0.006838238238931667,0.007141084289546134
0.1,hellinger,mean,0.0014422912127083295,0.7417022134396134,0.04719058419880272,0.04736201585618346
0.1,hellinger,stdev,8.65534147956728e-05,0.005805621426442253,0.00648476647907925,0.006933093150947616
0.1,pearson,mean,0.0009818225846917686,0.14001968763359302,0.07387909800423065,0.07632168526654219
0.1,pearson,stdev,0.0001094549252501929,0.0021969995704757116,0.004286874413071956,0.0047003342770671796
0.2,kullback-leibler,mean,0.001142989598513832,0.26487285583947473,0.05517242757831313,0.05644052247975904
0.2,kullback-leibler,stdev,0.00014461608575117447,0.003856170581131354,0.007193294456995031,0.007869522660611826
0.2,hellinger,mean,0.0013981698353920454,0.7285120879643376,0.0477244048320401,0.047950731370667805
0.2,hellinger,stdev,8.959462975553237e-05,0.004767883924481022,0.006437170070260169,0.006905431469664064
0.2,pearson,mean,0.0009810598809016527,0.13999567189777373,0.07411318150448595,0.07703504519517253
0.2,pearson,stdev,0.00011003173458875308,0.002152019565960035,0.004004319038853411,0.0045764759698040045
0.30000000000000004,kullback-leibler,mean,0.0010743396041645679,0.23561742547722925,0.06300663058908029,0.06517674089784384
0.30000000000000004,kullback-leibler,stdev,0.00012398283760429286,0.0028045606956951115,0.005610027086820446,0.006052248592932138
