Lambda,FairnessMeasure,Statistic,MACE,MRMC,MAP,MRR
0.0,kullback-leibler,mean,0.04918938809602997,0.36118222091777713,0.0075163906142167005,0.007576777087646652
0.0,kullback-leibler,stdev,0.0008015122705727403,0.010622311699281796,0.0030947225547201113,0.003081002767021648
0.0,hellinger,mean,0.04918938809602997,0.7239498383106099,0.0075163906142167005,0.007576777087646652
0.0,hellinger,stdev,0.0008015122705727403,0.008378408810154335,0.0030947225547201113,0.003081002767021648
0.0,pearson,mean,0.04918938809602997,0.38400471179785645,0.0075163906142167005,0.007576777087646652
0.0,pearson,stdev,0.0008015122705727403,0.013896970319626615,0.0030947225547201113,0.003081002767021648
0.1,kullback-leibler,mean,0.04388834897697225,0.28955143487362545,0.005772946859903381,0.005760869565217391
0.1,kullback-leibler,stdev,0.0007465244037890379,0.006952633399298451,0.0018730923925463845,0.0018766211103206575
0.1,hellinger,mean,0.04784213895512583,0.7096985705448444,0.007265786749482401,0.007253709454796411
0.1,hellinger,stdev,0.0007734809761598404,0.009197103893476643,0.003056678705834517,0.003060060183736503
0.1,pearson,mean,0.040862275532224976,0.11370952582919129,0.04157091097308489,0.04262077294685991
0.1,pearson,stdev,0.00037614126789537367,0.005052886528615231,0.009687310506017987,0.010826492631786987
0.2,kullback-leibler,mean,0.037678902489132436,0.21633503181921504,0.0066664510006901306,0.006607574189095929
0.2,kullback-leibler,stdev,0.0005302278386220521,0.009982259186389102,0.0016500793427583762,0.0016280296452533401
0.2,hellinger,mean,0.04686554689716579,0.6981809209258243,0.0068611973775017255,0.006849120082815735
0.2,hellinger,stdev,0.0008013545206582899,0.009426338299003445,0.002573350398813333,0.002577043678013556
0.2,pearson,mean,0.04061595276954348,0.11330208640694002,0.04334756728778468,0.044442719116632154
0.2,pearson,stdev,0.00035951512709643687,0.005077197976711291,0.00938300786400148,0.010526316205595283
0.30000000000000004,kullback-leibler,mean,0.0365648133799736,0.18506472856061754,0.008377760524499655,0.008350586611456176
0.30000000000000004,kullback-leibler,stdev,0.0002760979522205429,0.006414486525001093,0.0020344187324650093,0.0020147916752243865
0.30000000000000004,hellinger,mean,0.045788139486625114,0.6838884462678412,0.006709799861973775,0.006697722567287785
0.30000000000000004,hellinger,stdev,0.0007537046510529547,0.00817023666348014,0.0024970809819043994,0.0025009775058196047
0.30000000000000004,pearson,mean,0.04035343018578952,0.1131042969677197,0.04456564872325742,0.04567374051069704
0.30000000000000004,pearson,stdev,0.00032577943176391217,0.004967488934565828,0.009161746945453152,0.010290482058614273
0.4,kullback-leibler,mean,0.03607530286990494,0.1739697127816814,0.012415890269151141,0.012307194616977227
