Lambda,FairnessMeasure,Statistic,MACE,MRMC,MAP,MRR
0.0,kullback-leibler,mean,0.006277413554557808,0.4840385638486203,0.03203472222222222,0.03398611111111111
0.0,kullback-leibler,stdev,0.0003539742745204815,0.027737150315786788,0.007125907089149491,0.00780222201222058
0.0,hellinger,mean,0.006277413554557808,0.8582018617947689,0.03203472222222222,0.03398611111111111
0.0,hellinger,stdev,0.0003539742745204815,0.022103864036099055,0.007125907089149491,0.00780222201222058
0.0,pearson,mean,0.006277413554557808,0.49982438216628794,0.03203472222222222,0.03398611111111111
0.0,pearson,stdev,0.0003539742745204815,0.03331710629310253,0.007125907089149491,0.00780222201222058
0.1,kullback-leibler,mean,0.0031555052823677905,0.2236828475132387,0.057974206349206345,0.05885813492063492
0.1,kullback-leibler,stdev,0.0002042714752712259,0.006833966192827568,0.009294870539755385,0.00980942433177908
0.1,hellinger,mean,0.00566339011656698,0.7824498150603025,0.03660912698412699,0.03803968253968254
0.1,hellinger,stdev,0.0004460809737129744,0.0169795614581639,0.007620932306579448,0.007795168069957348
0.1,pearson,mean,0.00312256081555782,0.09507867027556105,0.11067261904761905,0.11552579365079366
0.1,pearson,stdev,0.00016789305807164345,0.0009487292078784449,0.011704439601612143,0.013330608109596836
0.2,kullback-leibler,mean,0.002604095458420165,0.1694630405526768,0.0911140873015873,0.09395138888888888
0.2,kullback-leibler,stdev,0.00018458332287510197,0.003807388297654539,0.014109675513703684,0.014790871164720169
0.2,hellinger,mean,0.0051501741356619855,0.7146704398814276,0.03992162698412698,0.042609126984126985
0.2,hellinger,stdev,0.0006084053052564326,0.011578015031221026,0.008780506117010303,0.009456291625484956
0.2,pearson,mean,0.003024083467345866,0.09467118137409761,0.11061309523809522,0.11688988095238093
0.2,pearson,stdev,0.00016948948585157546,0.0009413917358913122,0.01211068518186706,0.013508361239370622
0.30000000000000004,kullback-leibler,mean,0.0023668476754039307,0.1483189320757649,0.1057797619047619,0.10881349206349204
