Lambda,FairnessMeasure,Statistic,MACE,MRMC,MAP,MRR
0.0,kullback-leibler,mean,0.001875774214009772,0.3568313965630395,0.002901669758812616,0.002901669758812616
0.0,kullback-leibler,stdev,0.00017019727073386875,0.021466158861195947,0.001527844802356455,0.001527844802356455
0.0,hellinger,mean,0.001875774214009772,0.7049227375657656,0.002901669758812616,0.002901669758812616
0.0,hellinger,stdev,0.00017019727073386875,0.01703465900849193,0.001527844802356455,0.001527844802356455
0.0,pearson,mean,0.001875774214009772,0.3792389500349299,0.002901669758812616,0.002901669758812616
0.0,pearson,stdev,0.00017019727073386875,0.03220145327961694,0.001527844802356455,0.001527844802356455
0.1,kullback-leibler,mean,0.000923929969285992,0.12025277834157463,0.003598845598845599,0.0037720057720057715
0.1,kullback-leibler,stdev,8.989797215625743e-05,0.0027541325324988656,0.0007425900498767222,0.0007792054137761405
0.1,hellinger,mean,0.0007007245985839804,0.4315997617882039,0.0036751185322613893,0.0036751185322613893
0.1,hellinger,stdev,7.556489103737618e-05,0.008534928541735468,0.0009111172201042579,0.0009111172201042579
0.1,pearson,mean,0.0012162285926332964,0.06743049425854654,0.003501133786848072,0.003501133786848072
0.1,pearson,stdev,9.77927297537369e-05,0.009395844281451174,0.0005977431201106576,0.0005977431201106576
0.2,kullback-leibler,mean,0.0009314954349721606,0.11993163696772742,0.003917748917748918,0.004073593073593074
0.2,kullback-leibler,stdev,8.998378190706466e-05,0.002881260431872708,0.0007860054159536115,0.0008292350640963605
0.2,hellinger,mean,0.0006900761417017573,0.43072877130627385,0.004145537002679859,0.004145537002679859
0.2,hellinger,stdev,7.868239929986629e-05,0.009202433735351217,0.0010558980938058856,0.0010558980938058856
0.2,pearson,mean,0.0012133315954505845,0.06742403233530139,0.003587713873428159,0.003587713873428159
0.2,pearson,stdev,9.688361782434548e-05,0.00939866269989932,0.0005942318644931206,0.0005942318644931206
0.30000000000000004,kullback-leibler,mean,0.0009418364859484895,0.11981029026117893,0.0038658008658008654,0.004021645021645022
0.30000000000000004,kullback-leibler,stdev,8.318044347233119e-05,0.0029189674575765523,0.0007542302271388372,0.0008017090577635902
0.30000000000000004,hellinger,mean,0.0006971579487835644,0.43092051326205716,0.004191713048855906,0.004191713048855906
0.30000000000000004,hellinger,stdev,7.687392854293709e-05,0.009507388082679083,0.0010301634473932424,0.0010301634473932424
0.30000000000000004,pearson,mean,0.0012133315954505845,0.06742186753201145,0.0035747268604411466,0.0035747268604411466
0.30000000000000004,pearson,stdev,9.688361782434548e-05,0.009399398992535333,0.0005675058441202863,0.0005675058441202863
0.4,kullback-leibler,mean,0.0009394952793967566,0.11981301284783671,0.0040129870129870125,0.004142857142857143
0.4,kullback-leibler,stdev,8.413338875899082e-05,0.0029355062445361665,0.0008037803005821286,0.000849627682021763
0.4,hellinger,mean,0.0006971579487835644,0.43126284111971663,0.0043186971758400325,0.0043186971758400325
0.4,hellinger,stdev,7.687392854293709e-05,0.009430228604467072,0.0011393939423776278,0.0011393939423776278
0.4,pearson,mean,0.0012148538826871574,0.06741840070280544,0.0035819418676561535,0.0035819418676561535
