Lambda,FairnessMeasure,Statistic,MACE,MRMC,MAP,MRR
0.0,kullback-leibler,mean,0.06421312949271338,0.358249604426019,0.01837002679859823,0.018578025149453718
0.0,kullback-leibler,stdev,0.0007916430966166156,0.00807925184911479,0.0026021882458810808,0.002643115753684892
0.0,hellinger,mean,0.06421312949271338,0.7189699113255881,0.01837002679859823,0.018578025149453718
0.0,hellinger,stdev,0.0007916430966166156,0.008705010326491944,0.0026021882458810808,0.002643115753684892
0.0,pearson,mean,0.06421312949271338,0.3606284543877859,0.01837002679859823,0.018578025149453718
0.0,pearson,stdev,0.0007916430966166156,0.009768261297860733,0.0026021882458810808,0.002643115753684892
0.1,kullback-leibler,mean,0.05410811532384151,0.25839219643472283,0.018268604411461553,0.018348794063079776
0.1,kullback-leibler,stdev,0.0009156869200328677,0.00701184408393117,0.0024729407538760942,0.0024627879288591577
0.1,hellinger,mean,0.060734245432231805,0.686809029225001,0.018877138734281592,0.0191156462585034
0.1,hellinger,stdev,0.0008743241541431476,0.007985189425926227,0.0024487929324171513,0.002511689118380558
0.1,pearson,mean,0.048015589472916544,0.08028176923985844,0.019636363636363636,0.019914656771799627
0.1,pearson,stdev,0.00039332097841808934,0.0012569934998028136,0.0034707114083479783,0.003703946376941728
0.2,kullback-leibler,mean,0.049876932323125574,0.21673247089493186,0.019637085137085137,0.019797979797979797
0.2,kullback-leibler,stdev,0.0008946191159894021,0.006370710735970938,0.00350227653734976,0.003588029807755989
0.2,hellinger,mean,0.058251009115974625,0.6633552871731629,0.019606060606060606,0.019942486085343228
0.2,hellinger,stdev,0.0008401600287819733,0.007326677404283175,0.002723189900537012,0.0028437931021664687
0.2,pearson,mean,0.04816883034399687,0.07575806612492539,0.019864151721294573,0.020219748505462785
0.2,pearson,stdev,0.00031774990537481937,0.0011793621705427615,0.003292144887348908,0.0036355929781402684
0.30000000000000004,kullback-leibler,mean,0.047000229595700126,0.18932288161970656,0.022551741908884766,0.02301216244073387
0.30000000000000004,kullback-leibler,stdev,0.0007338488673750156,0.004394001570512527,0.0045445664822653066,0.004775551361773714
0.30000000000000004,hellinger,mean,0.05555154012519653,0.6374671194754907,0.0199208410636982,0.020120799835085544
0.30000000000000004,hellinger,stdev,0.0009662029082095034,0.008350617127211147,0.0028808906004285763,0.002928519417125688
0.30000000000000004,pearson,mean,0.04791333781667194,0.07438835953581958,0.019866419294990723,0.020202432488146772
0.30000000000000004,pearson,stdev,0.0002603021671390549,0.0011392334744915209,0.0032113756562130945,0.0035699529991615694
0.4,kullback-leibler,mean,0.044811707147818895,0.16997054024371908,0.023017728303442585,0.023520717377860233
0.4,kullback-leibler,stdev,0.0006225001481270468,0.0031485891283330797,0.0048838988183214326,0.005132029118364045
0.4,hellinger,mean,0.052819521908531696,0.6106624693560235,0.020696969696969696,0.02077056277056277
0.4,hellinger,stdev,0.001099793946536269,0.009459753264925779,0.003209078985987463,0.0032015260900814324
0.4,pearson,mean,0.04756381305076639,0.07367117172986774,0.019844980416408985,0.020188208616780043
0.4,pearson,stdev,0.0002440155346781446,0.001089393108712005,0.0030997836786311006,0.003480726594170342
0.5,kullback-leibler,mean,0.04291966945047516,0.1544209677762147,0.022903937332508756,0.023381776953205525
0.5,kullback-leibler,stdev,0.0005091596266750394,0.002340365966278471,0.004871762888557409,0.005263612439501563
0.5,hellinger,mean,0.049978802638944594,0.5830867565957649,0.020833745619459908,0.020822304679447536
0.5,hellinger,stdev,0.0012348200372083748,0.01049592576964678,0.003597701286313182,0.0035719969872582574
0.5,pearson,mean,0.04717969645130429,0.07317641063610825,0.020357039785611212,0.020712636569779425
0.5,pearson,stdev,0.00024756345442951573,0.0010436562330621748,0.0032767110499631867,0.0036489052190049574
0.6000000000000001,kullback-leibler,mean,0.04142848846395397,0.1427527770531105,0.022964955679241394,0.023346732632446916
0.6000000000000001,kullback-leibler,stdev,0.0004022466408025812,0.0017182620467703369,0.004289871973723532,0.004663233435465788
0.6000000000000001,hellinger,mean,0.047063542203099905,0.5549862507216125,0.019400639043496183,0.01958606472892187
0.6000000000000001,hellinger,stdev,0.0012487329785018256,0.010334038982025218,0.0030826803947082595,0.0031613380403881443
0.6000000000000001,pearson,mean,0.046749344914743224,0.07283690646582672,0.020691816120387545,0.020851164708307564
0.6000000000000001,pearson,stdev,0.00022517855757715622,0.0010334560424164884,0.003319940664582998,0.003517655901356589
0.7000000000000001,kullback-leibler,mean,0.040043971264970106,0.13249217912815997,0.023791589363017934,0.0240717377860235
0.7000000000000001,kullback-leibler,stdev,0.00031931937925000687,0.0012346310253421033,0.004061856479664612,0.004412172047679375
0.7000000000000001,hellinger,mean,0.043679475343959044,0.5226898574990593,0.021734900020614303,0.022325499896928468
0.7000000000000001,hellinger,stdev,0.0011557959290996581,0.008812617974943635,0.0036090898447417954,0.003978354858187636
0.7000000000000001,pearson,mean,0.04625727014886803,0.0726115788472951,0.020348175633889916,0.02079014636157493
0.7000000000000001,pearson,stdev,0.00023712663775968658,0.0010300104510345307,0.0032968456856697958,0.00368510349353328
0.8,kullback-leibler,mean,0.03871060100563145,0.12345856626862384,0.023381158524015667,0.02366522366522366
0.8,kullback-leibler,stdev,0.00021772308599055971,0.0009657380642182854,0.004605649603022644,0.004944413191568712
0.8,hellinger,mean,0.03985647327401487,0.48716628337801743,0.025226242011956296,0.025964749536178104
0.8,hellinger,stdev,0.0008570119430704055,0.006363346182919791,0.004903591314251938,0.005263391911445698
0.8,pearson,mean,0.045686694951897255,0.07241585368845285,0.020328592042877753,0.020994227994227992
0.8,pearson,stdev,0.00028852373844700813,0.0010048436256556905,0.0031242893395715143,0.003717069641686546
0.9,kullback-leibler,mean,0.037170572482673955,0.11434172498858866,0.023248402391259533,0.023911152339723764
0.9,kullback-leibler,stdev,9.753327080419407e-05,0.0006515222268090183,0.004245049532995446,0.004863160559315495
0.9,hellinger,mean,0.035104247059888606,0.44427399260941003,0.024147907647907647,0.024749742321170894
0.9,hellinger,stdev,0.0004239809818621753,0.002996569004797331,0.004313004433722056,0.004760347283761913
0.9,pearson,mean,0.04495633342146909,0.07221047449239434,0.02062719027004741,0.02135703978561121
0.9,pearson,stdev,0.00032098714652499207,0.0010378096561300136,0.0036486617654300935,0.004036326853044574
1.0,kullback-leibler,mean,0.03610187192412207,0.10668601579696275,0.024145124716553286,0.024552257266542976
