Lambda,FairnessMeasure,Statistic,MACE,MRMC,MAP,MRR
0.0,kullback-leibler,mean,0.00198549367983425,0.39563339216418225,0.01374640206029389,0.01374640206029389
0.0,kullback-leibler,stdev,0.0009732241166563212,0.005975661051345817,0.001904598475303986,0.001904598475303986
0.0,hellinger,mean,0.00198549367983425,0.7669568780521339,0.01374640206029389,0.01374640206029389
0.0,hellinger,stdev,0.0009732241166563212,0.006110334296538169,0.001904598475303986,0.001904598475303986
0.0,pearson,mean,0.00198549367983425,0.4132972076454976,0.01374640206029389,0.01374640206029389
0.0,pearson,stdev,0.0009732241166563212,0.0073339964252380485,0.001904598475303986,0.001904598475303986
0.1,kullback-leibler,mean,0.002019984933837699,0.36286132510514235,0.013977511824807682,0.013977511824807682
0.1,kullback-leibler,stdev,0.0010502476419662896,0.0051881372315467,0.001509814085648419,0.001509814085648419
0.1,hellinger,mean,0.0019803521264424315,0.7620984128373681,0.013653402683095148,0.013653402683095148
0.1,hellinger,stdev,0.0009743730809219189,0.005864232055647831,0.0017798860530318708,0.0017798860530318708
0.1,pearson,mean,0.002041740773042107,0.14097424047448276,0.04462009123196824,0.04462009123196824
0.1,pearson,stdev,0.0012810400615318185,0.0014581570957563474,0.005161878116576696,0.005161878116576696
0.2,kullback-leibler,mean,0.0020013487530781324,0.33102606456129846,0.015092326078540283,0.015092326078540283
0.2,kullback-leibler,stdev,0.0010649867122472715,0.0036318045567799505,0.0017798298099409241,0.0017798298099409241
0.2,hellinger,mean,0.0020157003060111835,0.7567349726716622,0.013810954569173015,0.013810954569173015
0.2,hellinger,stdev,0.0010516867805069855,0.005742614137114167,0.0014952934847080998,0.0014952934847080998
0.2,pearson,mean,0.0020741795678662182,0.1382262237965038,0.04596727768519923,0.04596727768519923
0.2,pearson,stdev,0.0013049124719370002,0.001090734702166834,0.005017887790136405,0.005017887790136405
0.30000000000000004,kullback-leibler,mean,0.0019144730193307127,0.299560537847616,0.016529397902674672,0.016529397902674672
0.30000000000000004,kullback-leibler,stdev,0.0011218121829318073,0.002421472718409252,0.003674695884244671,0.003674695884244671
0.30000000000000004,hellinger,mean,0.0020157003060111835,0.749850751422186,0.013763571176084424,0.013763571176084424
0.30000000000000004,hellinger,stdev,0.0010516867805069855,0.005401421714201465,0.0016437783775971528,0.0016437783775971528
0.30000000000000004,pearson,mean,0.0020702519923585794,0.1379846559820648,0.04644414146004816,0.04644414146004816
0.30000000000000004,pearson,stdev,0.0013075507503456292,0.0008804300938223726,0.0054621190350934885,0.0054621190350934885
0.4,kullback-leibler,mean,0.001912374753572236,0.2708821642127212,0.021487569223518316,0.021487569223518316
0.4,kullback-leibler,stdev,0.001094365029629695,0.0012825202348956649,0.004244999071683964,0.004244999071683964
0.4,hellinger,mean,0.001985261595826981,0.7410595474776694,0.014101987914289075,0.014101987914289075
0.4,hellinger,stdev,0.0010611725477452792,0.004959116587113117,0.0012908899835179322,0.0012908899835179322
0.4,pearson,mean,0.0020702519923585794,0.13799045125862852,0.04666052281640831,0.04666052281640831
0.4,pearson,stdev,0.0013075507503456292,0.0009652888925788633,0.005548464028149521,0.005548464028149521
0.5,kullback-leibler,mean,0.0018557466221982989,0.24631780770832212,0.027435405409954716,0.027435405409954716
0.5,kullback-leibler,stdev,0.0011149144217702885,0.0011623437360305316,0.0067906755721723455,0.0067906755721723455
0.5,hellinger,mean,0.001989581928885384,0.7293538259102708,0.01442163645238936,0.01442163645238936
0.5,hellinger,stdev,0.0010590553024917267,0.004794515287528456,0.0011053755977202232,0.0011053755977202232
0.5,pearson,mean,0.0020583593076182213,0.13815545609032304,0.04727903179652917,0.04727903179652917
0.5,pearson,stdev,0.0013115593921427234,0.0010893028752038795,0.005131571100195554,0.005131571100195554
0.6000000000000001,kullback-leibler,mean,0.001888462080417469,0.227067369867635,0.031017775084583143,0.031017775084583143
0.6000000000000001,kullback-leibler,stdev,0.0012435558568057463,0.0014640484037351305,0.007142936565844327,0.007142936565844327
0.6000000000000001,hellinger,mean,0.001988619837910193,0.7133941749966501,0.014951606658923724,0.014951606658923724
0.6000000000000001,hellinger,stdev,0.001065147267898842,0.003801968475923647,0.0015308288913653525,0.0015308288913653525
0.6000000000000001,pearson,mean,0.0020582827964070335,0.13836968288465298,0.04742303354710568,0.04742303354710568
0.6000000000000001,pearson,stdev,0.0013116232561974552,0.0010898883107592432,0.005150366371107801,0.005150366371107801
0.7000000000000001,kullback-leibler,mean,0.001873949041802689,0.2127920951002292,0.03506135434025148,0.03506135434025148
0.7000000000000001,kullback-leibler,stdev,0.00123137992195786,0.0013594796205933955,0.007186349429901024,0.007186349429901024
0.7000000000000001,hellinger,mean,0.001991612995728377,0.689978328617814,0.016597401067178368,0.016597401067178368
0.7000000000000001,hellinger,stdev,0.001066454650468078,0.0028624198631693205,0.0022593991916925113,0.0022593991916925113
0.7000000000000001,pearson,mean,0.0020526687751002805,0.13853206463572112,0.04722575704017912,0.04722575704017912
0.7000000000000001,pearson,stdev,0.0013156390279344852,0.0009802733321989483,0.00514187087789666,0.00514187087789666
0.8,kullback-leibler,mean,0.0019149790874373005,0.2024701839267007,0.03930877476476628,0.03930877476476628
0.8,kullback-leibler,stdev,0.0012245380111957896,0.001288315315019806,0.006073754415495081,0.006073754415495081
