Lambda,FairnessMeasure,Statistic,MACE,MRMC,MAP,MRR
0.0,kullback-leibler,mean,0.0011355599099036032,0.39248788706875015,0.05032107929774956,0.05032107929774956
0.0,kullback-leibler,stdev,0.00010463469700366296,0.004034273897520282,0.004943808007074935,0.004943808007074935
0.0,hellinger,mean,0.0011355599099036032,0.7620761016322454,0.05032107929774956,0.05032107929774956
0.0,hellinger,stdev,0.00010463469700366296,0.005602430952768112,0.004943808007074935,0.004943808007074935
0.0,pearson,mean,0.0011355599099036032,0.41092537965361603,0.05032107929774956,0.05032107929774956
0.0,pearson,stdev,0.00010463469700366296,0.00402234247923772,0.004943808007074935,0.004943808007074935
0.1,kullback-leibler,mean,0.0010717955054838795,0.317165818409595,0.05265086098065956,0.05265086098065956
0.1,kullback-leibler,stdev,0.00011187516263436229,0.0015538866197777495,0.005041660231909561,0.005041660231909561
0.1,hellinger,mean,0.0011430715806798153,0.7492000448785125,0.050185157131074486,0.050185157131074486
0.1,hellinger,stdev,9.831186268418021e-05,0.005023691560898849,0.005104871412157232,0.005104871412157232
0.1,pearson,mean,0.0009407244466897152,0.14030032930010744,0.08717265060849369,0.08717265060849369
0.1,pearson,stdev,9.147229882340239e-05,0.0025919252661465654,0.00481803239850927,0.00481803239850927
0.2,kullback-leibler,mean,0.001044606283372257,0.26577292117217255,0.062316820683734876,0.062316820683734876
0.2,kullback-leibler,stdev,0.0001081811019645475,0.0033956269537894924,0.0071403437249179585,0.0071403437249179585
0.2,hellinger,mean,0.0011174079548041,0.7352681152363696,0.050187345351714464,0.050187345351714464
0.2,hellinger,stdev,0.00010998853924545245,0.004211471449211124,0.004611564653680347,0.004611564653680347
0.2,pearson,mean,0.0009322421987758067,0.14019520405991398,0.0873509905906513,0.0873509905906513
0.2,pearson,stdev,9.35916183162526e-05,0.0025327171662737494,0.005057396249460924,0.005057396249460924
0.30000000000000004,kullback-leibler,mean,0.0010200095203698018,0.23476658245412305,0.0728529347405276,0.0728529347405276
0.30000000000000004,kullback-leibler,stdev,0.00011619653405728052,0.0031109482493606954,0.005793718401324042,0.005793718401324042
0.30000000000000004,hellinger,mean,0.0011176643349683625,0.7189280515147789,0.05138480701577208,0.05138480701577208
0.30000000000000004,hellinger,stdev,0.00011699642972878134,0.003843604979037426,0.005220057456958816,0.005220057456958816
0.30000000000000004,pearson,mean,0.000930157625381884,0.1403312965138886,0.08682447103974147,0.08682447103974147
0.30000000000000004,pearson,stdev,9.626897852748283e-05,0.0025226505069900523,0.005042185419726399,0.005042185419726399
0.4,kullback-leibler,mean,0.0009554040160764594,0.2168803054640561,0.08180772273561251,0.08180772273561251
0.4,kullback-leibler,stdev,0.00010058073097530954,0.0023361882338474647,0.005057613597610433,0.005057613597610433
0.4,hellinger,mean,0.0011181396070280858,0.6989725311926482,0.05207418067969506,0.05207418067969506
0.4,hellinger,stdev,0.00011324294395596549,0.003049062702449881,0.005059671680535329,0.005059671680535329
0.4,pearson,mean,0.0009360315015431787,0.14048389283186927,0.08675764614789006,0.08675764614789006
0.4,pearson,stdev,9.243736226911585e-05,0.0025084097790872297,0.004789600366161766,0.004789600366161766
0.5,kullback-leibler,mean,0.0009413225503637496,0.2074152992991949,0.08495732969752061,0.08495732969752061
0.5,kullback-leibler,stdev,0.00010167872490437964,0.0018024212999208753,0.0040568891213375235,0.0040568891213375235
0.5,hellinger,mean,0.0011070535866927159,0.675035946476432,0.05392162803615621,0.05392162803615621
0.5,hellinger,stdev,0.00010811425245980258,0.002507015870978851,0.005395338446937668,0.005395338446937668
0.5,pearson,mean,0.0009536796192526356,0.14062920782907692,0.0872446935649481,0.0872446935649481
0.5,pearson,stdev,8.853611910623725e-05,0.00259325041253422,0.0049057358541447415,0.0049057358541447415
0.6000000000000001,kullback-leibler,mean,0.000967252698654875,0.20168164397511087,0.08361813866585878,0.08361813866585878
0.6000000000000001,kullback-leibler,stdev,9.137992087771915e-05,0.0014534836475820906,0.004765632442024937,0.004765632442024937
0.6000000000000001,hellinger,mean,0.0011022261948594664,0.648402791658501,0.06044067397195718,0.06044067397195718
0.6000000000000001,hellinger,stdev,0.00010912812523797204,0.0021980708014281967,0.006562553478630658,0.006562553478630658
0.6000000000000001,pearson,mean,0.0009543627719865846,0.14079033858857798,0.08730983521015338,0.08730983521015338
0.6000000000000001,pearson,stdev,8.820315025130852e-05,0.002609176827004314,0.0048662953451194405,0.0048662953451194405
0.7000000000000001,kullback-leibler,mean,0.0009745217544364721,0.19803348340595137,0.08427973876012056,0.08427973876012056
0.7000000000000001,kullback-leibler,stdev,8.852431656181052e-05,0.0014036883511635162,0.004222333682241266,0.004222333682241266
0.7000000000000001,hellinger,mean,0.0010959465208867298,0.6212961644446555,0.06834637849484095,0.06834637849484095
0.7000000000000001,hellinger,stdev,0.00011443242779020565,0.0022561099742724323,0.007231845847486771,0.007231845847486771
0.7000000000000001,pearson,mean,0.0009515674568795545,0.1411749746428274,0.08709850359373161,0.08709850359373161
0.7000000000000001,pearson,stdev,8.982063960248597e-05,0.002685331308353907,0.004593366206573833,0.004593366206573833
0.8,kullback-leibler,mean,0.0009659867639533779,0.19513097784063518,0.08550110252655325,0.08550110252655325
